time_stamp,lat,long
1681573491,16.9094,-147.4130
1681573551,19.8444,-144.9908
1681573611,22.7145,-142.4895
1681573671,25.5589,-139.8487
1681573731,28.3442,-137.0679
1681573791,31.0589,-134.1255
1681573851,33.6903,-130.9981
1681573911,36.2239,-127.6609
1681573971,38.6240,-124.1189
1681574031,40.9118,-120.2882
1681574091,43.0456,-116.1746
1681574151,45.0019,-111.7593
1681574211,46.7551,-107.0312
1681574271,48.2666,-102.0340
1681574331,49.5350,-96.6987
1681574391,50.5209,-91.0991
1681574451,51.2044,-85.2590
1681574511,51.5625,-79.3095
1681574571,51.5899,-73.3061
1681574631,51.2896,-67.3900
1681574691,50.6642,-61.5474
1681574751,49.7303,-55.9033
1681574811,48.5093,-50.5147
1681574871,47.0261,-45.4188
1681574931,45.3078,-40.6338
1681574991,43.3981,-36.1980
1681575051,41.2906,-32.0278
1681575111,39.0246,-28.1445
1681575171,36.6216,-24.5257
1681575231,34.1008,-21.1463
1681575291,31.5014,-18.0067
1681575351,28.7945,-15.0295
1681575411,26.0148,-12.2180
1681575471,23.1734,-9.5501
1681575531,20.2805,-7.0049
1681575591,17.3446,-4.5630
1681575651,14.3988,-2.2260
1681575711,11.4009,0.0617
1681575771,8.3814,2.2962
1681575831,5.3470,4.4919
1681575891,2.3033,6.6631
1681575951,-0.7187,8.8056
1681576011,-3.7648,10.9694
1681576071,-6.8037,13.1498
1681576131,-9.8302,15.3611
1681576191,-12.8379,17.6173
1681576350,-20.6463,23.9101
1681576371,-21.6608,24.7917
1681576431,-24.5268,27.3890
1681576491,-27.3361,30.1175
1681576551,-30.0783,32.9989
1681576611,-32.7197,36.0298
1681576671,-35.2910,39.2850
1681576731,-37.7540,42.7649
1681576791,-40.0909,46.4945
1681576851,-42.2816,50.4978
1681576911,-44.3035,54.7949
1681576971,-46.1177,59.3600
1681577109,-49.4408,71.0669
1681577151,-50.1851,74.9850
1681577211,-50.9815,80.7094
1681577271,-51.4608,86.5503
1681577331,-51.6189,92.5267
1681577391,-51.4465,98.5006
1681577451,-50.9481,104.3833
1681577511,-50.1364,110.0948
1681577571,-49.0304,115.5720
1681577631,-47.6664,120.7284
1681577691,-46.0476,125.6252
1681577751,-44.2111,130.2097
1681577811,-42.1831,134.4872
1681577871,-39.9880,138.4719
1681577931,-37.6684,142.1545
1681577991,-35.2050,145.6206
1681578051,-32.6347,148.8628
1681578111,-29.9729,151.9065
1681578171,-27.2331,154.7757
1681578231,-24.4272,157.4933
1681578291,-21.5898,160.0592
1681578351,-18.6822,162.5363
1681578411,-15.7362,164.9208
1681578471,-12.7591,167.2297
1681578531,-9.7577,169.4788
1681578591,-6.7380,171.6834
1681578651,-3.7312,173.8396
1681578711,-0.6924,175.9975
1681578771,2.3477,178.1523
1681578831,5.3842,-179.6819
1681578891,8.4112,-177.4918
1681578951,11.3982,-175.2816
1681579011,14.3893,-172.9999
